"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20230122","우이신설선","4.19민주묘지","1408","1231","20230125"
"20230122","경원선","가능","3287","3088","20230125"
"20230122","8호선","가락시장","1639","1767","20230125"
"20230122","3호선","가락시장","1995","2006","20230125"
"20230122","경부선","가산디지털단지","3662","5047","20230125"
"20230122","7호선","가산디지털단지","6723","5879","20230125"
"20230122","9호선","가양","7170","7140","20230125"
"20230122","우이신설선","가오리","2043","1996","20230125"
"20230122","경의선","가좌","2223","2109","20230125"
"20230122","분당선","가천대","2286","2609","20230125"
"20230122","경춘선","가평","1431","1457","20230125"
"20230122","경인선","간석","2530","2440","20230125"
"20230122","경춘선","갈매","926","758","20230125"
"20230122","2호선","강남","13415","13505","20230125"
"20230122","분당선","강남구청","1146","1321","20230125"
"20230122","7호선","강남구청","1834","2045","20230125"
"20230122","5호선","강동","5657","5577","20230125"
"20230122","8호선","강동구청","2922","2872","20230125"
"20230122","경의선","강매","1063","940","20230125"
"20230122","2호선","강변(동서울터미널)","16647","15828","20230125"
"20230122","5호선","강일","1715","1618","20230125"
"20230122","경춘선","강촌","275","293","20230125"
"20230122","5호선","개롱","1834","1947","20230125"
"20230122","경인선","개봉","9366","9151","20230125"
"20230122","분당선","개포동","1080","1156","20230125"
"20230122","9호선","개화","675","453","20230125"
"20230122","5호선","개화산","2112","2075","20230125"
"20230122","5호선","거여","3092","2956","20230125"
"20230122","7호선","건대입구","3494","3868","20230125"
"20230122","2호선","건대입구","13675","15443","20230125"
"20230122","공항철도 1호선","검암","2785","2599","20230125"
"20230122","경강선","경기광주","2981","3091","20230125"
"20230122","과천선","경마공원","235","241","20230125"
"20230122","3호선","경복궁(정부서울청사)","11593","14045","20230125"
"20230122","3호선","경찰병원","1831","1850","20230125"
"20230122","공항철도 1호선","계양","4325","4152","20230125"
"20230122","경의선","계양","1","0","20230125"
"20230122","5호선","고덕","2303","2288","20230125"
"20230122","6호선","고려대(종암)","2834","2753","20230125"
"20230122","수인선","고색","1302","1243","20230125"
"20230122","9호선","고속터미널","6569","8564","20230125"
"20230122","7호선","고속터미널","11626","5864","20230125"
"20230122","3호선","고속터미널","23792","23583","20230125"
"20230122","안산선","고잔","3108","2929","20230125"
"20230122","경의선","곡산","224","194","20230125"
"20230122","경강선","곤지암","1667","1557","20230125"
"20230122","6호선","공덕","4181","4024","20230125"
"20230122","공항철도 1호선","공덕","1038","1529","20230125"
"20230122","경의선","공덕","1279","1105","20230125"
"20230122","5호선","공덕","2867","2942","20230125"
"20230122","7호선","공릉(서울과학기술대)","4030","4058","20230125"
"20230122","9호선","공항시장","1293","1425","20230125"
"20230122","공항철도 1호선","공항화물청사","756","688","20230125"
"20230122","과천선","과천","2381","2264","20230125"
"20230122","경부선","관악","3090","2993","20230125"
"20230122","신림선","관악산(서울대)","993","1029","20230125"
"20230122","5호선","광나루(장신대)","4447","4072","20230125"
"20230122","경부선","광명","1977","1592","20230125"
"20230122","7호선","광명사거리","8423","8417","20230125"
"20230122","경원선","광운대","3220","3201","20230125"
"20230122","5호선","광화문(세종문화회관)","11124","9986","20230125"
"20230122","6호선","광흥창(서강)","2699","2500","20230125"
"20230122","2호선","교대(법원.검찰청)","4447","4749","20230125"
"20230122","3호선","교대(법원.검찰청)","1817","1091","20230125"
"20230122","경부선","구로","7155","7458","20230125"
"20230122","2호선","구로디지털단지","14552","14550","20230125"
"20230122","분당선","구룡","476","487","20230125"
"20230122","중앙선","구리","4669","4946","20230125"
"20230122","9호선","구반포","176","180","20230125"
"20230122","6호선","구산","2913","2249","20230125"
"20230122","분당선","구성","1506","1641","20230125"
"20230122","2호선","구의(광진구청)","6978","6890","20230125"
"20230122","경인선","구일","1917","1887","20230125"
"20230122","3호선","구파발","7841","8051","20230125"
"20230122","중앙선","국수","435","429","20230125"
"20230122","9호선","국회의사당","2697","2598","20230125"
"20230122","5호선","군자(능동)","3854","4274","20230125"
"20230122","7호선","군자(능동)","5196","3853","20230125"
"20230122","경부선","군포","2367","2201","20230125"
"20230122","경춘선","굴봉산","99","103","20230125"
"20230122","5호선","굽은다리(강동구민회관앞)","3557","3425","20230125"
"20230122","경춘선","금곡","723","668","20230125"
"20230122","경의선","금릉","2300","2079","20230125"
"20230122","경부선","금정","10576","10604","20230125"
"20230122","경부선","금천구청","4652","4751","20230125"
"20230122","경의선","금촌","3433","3571","20230125"
"20230122","3호선","금호","3121","2895","20230125"
"20230122","분당선","기흥","3435","3125","20230125"
"20230122","5호선","길동","2620","2701","20230125"
"20230122","4호선","길음","7966","7569","20230125"
"20230122","경춘선","김유정","235","222","20230125"
"20230122","5호선","김포공항","4919","4916","20230125"
"20230122","9호선","김포공항","4833","7560","20230125"
"20230122","공항철도 1호선","김포공항","7738","4088","20230125"
"20230122","5호선","까치산","11030","11019","20230125"
